index,rank,word,frequency,percentile,distance,probability,distance_probability
324,6576,"froggy",0,4.6884,-2.065764,0.00010455,-7.36144855
325,6575,"transgendered",0,4.7029,-2.065764,0.00010455,-7.36144855
326,6574,"hacendado",0,4.7174,-2.065764,0.00010455,-7.36144855
327,6573,"fibrin",0,4.7319,-2.065764,0.00010455,-7.36144855
328,6572,"thermography",0,4.7464,-1.976611,0.00010629,-7.36055702
329,6571,"decile",0,4.7609,-1.976611,0.00010629,-7.36055702
330,6570,"agitator",0,4.7754,-1.976611,0.00010629,-7.36055702
331,6569,"streptococci",0,4.7899,-1.976611,0.00010629,-7.36055702
332,6568,"Thracian",0,4.8043,-1.976611,0.00010629,-7.36055702
333,6567,"codebook",0,4.8188,-1.976611,0.00010629,-7.36055702
334,6566,"leveraging",0,4.8333,-1.976611,0.00010629,-7.36055702
335,6565,"regenerating",0,4.8478,-1.976611,0.00010629,-7.36055702
336,6564,"adenoidectomy",0,4.8623,-1.976611,0.00010629,-7.36055702
337,6563,"delegative",0,4.8768,-1.976611,0.00010629,-7.36055702
338,6562,"electrophysiologist",0,4.8913,-1.976611,0.00010629,-7.36055702
339,6561,"pakora",0,4.9058,-1.976611,0.00010629,-7.36055702
340,6560,"amelioration",0,4.9203,-1.976611,0.00010629,-7.36055702
341,6559,"polltaker",0,4.9348,-1.976611,0.00010629,-7.36055702
342,6558,"palfrey",0,4.9493,-1.976611,0.00010629,-7.36055702
343,6557,"terrapin",0,4.9638,-1.976611,0.00010629,-7.36055702
344,6556,"reductase",0,4.9783,-1.976611,0.00010629,-7.36055702
345,6555,"periosteum",0,4.9928,-1.976611,0.00010629,-7.36055702
346,6554,"dominus",0,5.0072,-1.976611,0.00010629,-7.36055702
347,6553,"radon",0,5.0217,-1.976611,0.00010629,-7.36055702
348,6552,"preapproval",0,5.0362,-1.976611,0.00010629,-7.36055702
349,6551,"scow",0,5.0507,-1.976611,0.00010629,-7.36055702
350,6550,"odynophagia",0,5.0652,-1.976611,0.00010629,-7.36055702
351,6549,"distractor",0,5.0797,-1.976611,0.00010629,-7.36055702
352,6548,"spectroscopist",0,5.0942,-1.976611,0.00010629,-7.36055702
353,6547,"ipecac",0,5.1087,-1.976611,0.00010629,-7.36055702
354,6546,"purgatory",0,5.1232,-1.976611,0.00010629,-7.36055702
355,6545,"Punjabi",0,5.1377,-1.887458,0.00010804,-7.35966550
356,6544,"objectivism",0,5.1522,-1.887458,0.00010804,-7.35966550
357,6543,"batsman",0,5.1667,-1.887458,0.00010804,-7.35966550
358,6542,"palindrome",0,5.1812,-1.887458,0.00010804,-7.35966550
359,6541,"rentier",0,5.1957,-1.887458,0.00010804,-7.35966550
360,6540,"adventitious",0,5.2101,-1.887458,0.00010804,-7.35966550
361,6539,"falconer",0,5.2246,-1.887458,0.00010804,-7.35966550
362,6538,"sidelock",0,5.2391,-1.887458,0.00010804,-7.35966550
363,6537,"seahorse",0,5.2536,-1.887458,0.00010804,-7.35966550
364,6536,"typicality",0,5.2681,-1.887458,0.00010804,-7.35966550
365,6535,"hemodynamic",0,5.2826,-1.887458,0.00010804,-7.35966550
366,6534,"immunohistochemical",0,5.2971,-1.887458,0.00010804,-7.35966550
367,6533,"guidestar",0,5.3116,-1.887458,0.00010804,-7.35966550
368,6532,"duodenal",0,5.3261,-1.887458,0.00010804,-7.35966550
369,6531,"surcoat",0,5.3406,-1.887458,0.00010804,-7.35966550
370,6530,"medkit",0,5.3551,-1.887458,0.00010804,-7.35966550
371,6529,"posada",0,5.3696,-1.887458,0.00010804,-7.35966550
372,6528,"effortful",0,5.3841,-1.887458,0.00010804,-7.35966550
